# Lakes of Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: https://en.wikipedia.org/wiki/List_of_lakes_of_Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ikha,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamal,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naag,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taudaha,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kavreplanchowk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalitpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boje,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boke,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Godavari,Kunda,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lagankhel,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naag,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pimbahal,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zoo,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahottari,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bramhasthan,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dami,Madai,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,
,Gotman,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mahadev,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naini,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purni,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satuniya,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sukhdev,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telia,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thari,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
